title,rank,date,artist,url,region,chart,trend,streams
Dynamite (feat. Pretty Sister),120,2017-01-01,Nause,https://open.spotify.com/track/2Ae5awwKvQpTBKQHr1TYCg,Austria,top200,MOVE_UP,1794
Photograph,135,2017-01-01,Ed Sheeran,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,Belgium,top200,NEW_ENTRY,2780
Someone Like You,138,2017-01-01,Adele,https://open.spotify.com/track/4kflIGfjdZJW4ot2ioixTB,Belgium,top200,MOVE_UP,2711
"Happy - From ""Despicable Me 2""",57,2017-01-01,Pharrell Williams,https://open.spotify.com/track/5b88tNINg4Q4nrRbrCXUmg,Belgium,top200,MOVE_DOWN,4832
Shed a Light,10,2017-01-01,"Robin Schulz, David Guetta, Cheat Codes",https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY,Austria,top200,SAME_POSITION,8726
Bohemian Rhapsody - Remastered 2011,75,2017-01-01,Queen,https://open.spotify.com/track/1AhDOtG9vPSOmsWgNW0BEY,Belgium,top200,MOVE_DOWN,4015
Human,24,2017-01-01,Rag'n'Bone Man,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O,Belgium,top200,MOVE_UP,9094
Ain't Your Mama,112,2017-01-01,Jennifer Lopez,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72,Austria,top200,MOVE_DOWN,1898
Locuras contigo,57,2017-01-01,Rombai,https://open.spotify.com/track/5jMvnSyOgGY8JpvHqeyVOg,Bolivia,top200,MOVE_UP,1201
El Taxi,136,2017-01-01,"Pitbull, Sensato, Osmani Garcia ""La Voz""",https://open.spotify.com/track/501PoxE6Qti2ekECimQeXK,Argentina,top200,NEW_ENTRY,19272
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",9,2017-01-01,"IAmChino, El Chacal",https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,Bolivia,top200,MOVE_DOWN,3446
Baila Conmigo,77,2017-01-01,"Juan Magán, Luciana",https://open.spotify.com/track/772io14jrMTxGJbijtDccQ,Argentina,top200,MOVE_UP,30623
Heathens,33,2017-01-01,Twenty One Pilots,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,Belgium,top200,SAME_POSITION,8367
Ela Domina o Ratatá Tum Tum - Ao Vivo,104,2017-01-01,Wesley Safadão,https://open.spotify.com/track/5ITDkudn3l1YoZc2TP0vhN,Brazil,top200,MOVE_UP,43505
